        Name,Clock.Today,ExtraVariables.Script.AccumPlantN,ExtraVariables.Script.AccumMineralisation,ExtraVariables.Script.AccumDenit,ExtraVariables.Script.AccumFert,ExtraVariables.Script.AccumLeach,ExtraVariables.Script.AccumDetach,ExtraVariables.Script.DeltaSoilOMN,ExtraVariables.Script.DeltaSurfaceOMN,ExtraVariables.Script.DeltaSoilMineralN,ExtraVariables.Script.SWC,ExtraVariables.Script.DUL,ExtraVariables.Script.OutFlowLat,ExtraVariables.Script.AccumEO,ExtraVariables.Script.AccumEP,ExtraVariables.Script.AccumES,ExtraVariables.Script.AccumDrainage,ExtraVariables.Script.AccumRunoff,ExtraVariables.Script.AccumRainfall,ExtraVariables.Script.AccumIrrigation,ExtraVariables.Script.AccumOutflowLat,ExtraVariables.Script.SoilWaterDeficit,ExtraVariables.Script.SoilNitrogenContent,ExtraVariables.Script.FomN,ExtraVariables.Script.HumN,ExtraVariables.Script.BiomN,ExtraVariables.Script.DltNMinRes,ExtraVariables.Script.DltNMinTot,MicroClimate.net_radn,MicroClimate.peta,MicroClimate.petr,Soil.SoilWater.Drainage,Soil.SoilWater.Runoff,Soil.SoilWater.Eo,Soil.SoilWater.Es,Soil.SoilWater.pond,Soil.SoilWater.SWmm(1),Soil.SoilWater.SWmm(2),Soil.SoilWater.SWmm(3),Soil.SoilWater.SWmm(4),Soil.SoilWater.SWmm(5),Soil.SoilWater.SWmm(6),Soil.NO3N(1),Soil.NO3N(2),Soil.NO3N(3),Soil.NO3N(4),Soil.NO3N(5),Soil.NO3N(6),MCSP.Leaf.Live.Wt,MCSP.Root.Live.Wt,MCSP.Product.Live.Wt,MCSP.Leaf.Live.N,MCSP.Root.Live.N,MCSP.Product.Live.N,MCSP.Leaf.Live.NConc,MCSP.Root.Live.NConc,MCSP.Product.Live.NConc,MCSP.Root.WaterSupply,MCSP.Root.WaterUptake,MCSP.Leaf.Transpiration,MCSP.Leaf.WaterDemand,MCSP.Root.Depth,MCSP.Leaf.CoverTotal,MCSP.Leaf.CoverDead,MCSP.Leaf.LAI,MCSP.Leaf.Height,MCSP.Leaf.PotentialBiomass.Value,MCSP.Product.LiveFWt,MCSP.OrganArbitrator.NDemand,MCSP.OrganArbitrator.NSupply,MCSP.Leaf.Fw,MCSP.Leaf.Fn,MCSP.Summariser.Total.Wt,MCSP.ExpectedYield.Value,MCSP.DryYield.Value,MCSP.TotalBiomassAtStartReproductive.Value,MCSP.TotalBiomassAtStartSenescence.Value,MCSP.Ymax.Value,MCSP.Summariser.Total.N,MCSP.OrganArbitrator.DMSupply,MCSP.OrganArbitrator.DMDemand,MCSP.Phenology.AccumulatedThermalTime.Value
MCSPTestBase, 1998-10-24,                           -0.268,                                   -0.338,                          -0.486,                         50.000,                          -0.003,                            0.000,                             4.658,                               -1.114,                                 45.698,                  271.505,                  285.000,                           0.000,                      -42.688,                       -0.386,                      -23.680,                             -4.262,                            0.000,                             14.900,                                0.000,                                0.000,                               -12.097,                                  355.698,                    34.068,                 14794.617,                    148.211,                          -0.047,                          -0.004,               16.414,            0.063,            0.004,                  0.141,                0.000,            4.340,            1.190,                   ,                28.532,                58.302,                91.483,                45.017,                30.056,                18.115,     252.649,      65.963,       9.169,       4.822,       0.369,       0.015,            5.171,            0.775,               0.000,           0.026,           0.007,              0.000,               0.005,               0.009,                  0.000,                     ,                0.066,                  0.066,                0.066,         71.875,               0.024,              0.000,        0.048,         150.000,                           0.691,               0.000,                       0.004,                       0.004,       1.000,       1.000,                   5.945,                 800.000,            696.000,                                   726.487,                                1470.745,       1681.159,                  0.033,                        0.788,                        0.788,                                     98.550
MCSPTestBase, 1998-10-25,                           -0.310,                                   -0.336,                          -0.486,                         50.000,                          -0.003,                            0.000,                             4.656,                               -1.114,                                 45.658,                  270.306,                  285.000,                           0.000,                      -44.756,                       -0.452,                      -24.726,                             -4.345,                            0.000,                             14.900,                                0.000,                                0.000,                               -13.495,                                  355.658,                    33.620,                 14794.561,                    148.708,                           0.000,                           0.002,                7.079,            0.068,            0.002,                  0.083,                0.000,            2.068,            1.046,                   ,                28.326,                57.911,                90.964,                45.008,                30.029,                18.068,     255.302,      65.192,       9.124,       4.814,       0.363,       0.013,            5.793,            0.844,               0.000,           0.029,           0.008,              0.000,               0.005,               0.009,                  0.000,                     ,                0.070,                  0.070,                0.070,         78.000,               0.026,              0.000,        0.053,         150.000,                           1.021,               0.000,                       0.004,                       0.004,       1.000,       1.000,                   6.637,                 800.000,            696.000,                                   726.487,                                1470.745,       1681.159,                  0.037,                        0.691,                        0.691,                                    110.800
MCSPTestBase, 1998-10-26,                           -0.348,                                   -0.328,                          -0.486,                         50.000,                          -0.004,                            0.000,                             4.648,                               -1.114,                                 45.628,                  336.183,                  285.000,                           0.000,                      -46.370,                       -0.522,                      -25.770,                             -7.344,                            0.000,                             14.900,                               70.000,                                0.000,                               -14.694,                                  355.628,                    33.246,                 14794.620,                    150.507,                           0.000,                           0.008,                4.939,            0.079,            0.001,                  2.999,                0.000,            1.614,            1.044,                   ,                39.526,                81.300,               107.513,                52.986,                34.405,                20.454,     106.604,     150.833,      62.410,      12.770,       2.344,       0.329,            6.712,            0.946,               0.000,           0.034,           0.009,              0.000,               0.005,               0.009,                  0.000,                     ,                0.080,                  0.080,                0.080,         86.925,               0.030,              0.000,        0.062,         150.000,                           1.592,               0.000,                       0.006,                       0.006,       1.000,       1.000,                   7.657,                 800.000,            696.000,                                   726.487,                                1470.745,       1681.159,                  0.042,                        1.021,                        1.021,                                    128.650
MCSPTestBase, 1998-10-27,                           -0.403,                                   -0.320,                          -1.614,                         50.000,                          -0.052,                            0.000,                             6.133,                               -1.499,                                 43.298,                  331.552,                  285.000,                           0.000,                      -51.966,                       -0.602,                      -29.426,                            -13.791,                            0.000,                             20.600,                               70.000,                                0.000,                                51.183,                                  353.298,                    32.714,                 14794.680,                    152.750,                          -1.108,                           0.008,               16.602,            0.215,            0.014,                  6.447,                0.000,            5.596,            3.656,                   ,                34.618,                75.911,               104.982,                55.184,                37.583,                23.275,      92.276,     143.616,      74.737,      18.923,       5.299,       1.279,            8.145,            1.105,               0.000,           0.041,           0.010,              0.000,               0.005,               0.009,                  0.000,                     ,                0.228,                  0.228,                0.228,         97.550,               0.036,              0.000,        0.074,         150.000,                           2.071,               0.000,                       0.009,                       0.009,       1.000,       1.000,                   9.250,                 800.000,            696.000,                                   726.487,                                1470.745,       1681.159,                  0.051,                        1.592,                        1.592,                                    149.900
MCSPTestBase, 1998-10-28,                           -0.489,                                   -0.299,                          -2.288,                         50.000,                          -0.407,                            0.000,                             7.904,                               -1.961,                                 40.873,                  323.914,                  285.000,                           0.000,                      -53.098,                       -0.831,                      -30.173,                            -22.368,                            0.000,                             22.300,                               70.000,                                0.000,                                46.552,                                  350.873,                    32.191,                 14794.652,                    153.888,                          -1.330,                           0.022,                3.833,            0.013,            0.001,                  8.577,                0.000,            1.132,            0.747,                   ,                33.731,                71.281,               101.296,                54.146,                38.443,                25.017,      88.925,     135.972,      79.009,      22.229,       7.789,       2.508,           10.008,            1.312,               0.000,           0.050,           0.012,              0.000,               0.005,               0.009,                  0.000,                     ,                0.014,                  0.014,                0.014,        103.600,               0.040,              0.000,        0.081,         150.000,                           1.271,               0.000,                       0.011,                       0.011,       1.000,       1.000,                  11.321,                 800.000,            696.000,                                   726.487,                                1470.745,       1681.159,                  0.062,                        2.071,                        2.071,                                    162.000
MCSPTestBase, 1998-10-29,                           -0.601,                                   -0.266,                          -2.661,                         50.000,                          -1.268,                            0.000,                             8.491,                               -2.121,                                 39.099,                  311.947,                  285.000,                           0.000,                      -57.826,                       -0.845,                      -33.297,                            -31.356,                            0.000,                             22.600,                               70.000,                                0.000,                                38.914,                                  349.099,                    31.609,                 14794.632,                    155.342,                          -0.460,                           0.033,               15.431,            0.139,            0.015,                  8.988,                0.000,            4.728,            3.124,                   ,                32.642,                66.176,                98.181,                51.965,                37.630,                25.354,      93.405,     126.825,      79.931,      23.514,       9.321,       3.554,           11.152,            1.439,               0.000,           0.056,           0.013,              0.000,               0.005,               0.009,                  0.000,                     ,                0.154,                  0.154,                0.154,        111.550,               0.045,              0.000,        0.093,         150.000,                           1.779,               0.000,                       0.007,                       0.007,       1.000,       1.000,                  12.591,                 800.000,            696.000,                                   726.487,                                1470.745,       1681.159,                  0.069,                        1.271,                        1.271,                                    177.900
MCSPTestBase, 1998-10-30,                           -0.669,                                   -0.216,                          -2.766,                         50.000,                          -2.530,                            0.000,                             9.343,                               -2.353,                                 37.046,                  302.827,                  285.000,                           0.000,                      -60.454,                       -1.000,                      -35.035,                            -39.360,                            0.000,                             23.300,                               70.000,                                0.000,                                26.947,                                  347.046,                    31.041,                 14794.584,                    156.451,                          -0.669,                           0.050,                9.032,            0.070,            0.008,                  8.004,                0.000,            2.628,            1.738,                   ,                32.257,                65.245,                95.421,                49.466,                35.890,                24.549,      95.666,     125.419,      77.871,      23.338,       9.901,       4.175,           12.753,            1.617,               0.000,           0.064,           0.015,              0.000,               0.005,               0.009,                  0.000,                     ,                0.078,                  0.078,                0.078,        118.075,               0.050,              0.000,        0.103,         150.000,                           1.558,               0.000,                       0.010,                       0.010,       1.000,       1.000,                  14.370,                 800.000,            696.000,                                   726.487,                                1470.745,       1681.159,                  0.078,                        1.779,                        1.779,                                    190.950
MCSPTestBase, 1998-10-31,                           -0.765,                                   -0.155,                          -2.814,                         50.000,                          -3.893,                            0.000,                             9.836,                               -2.496,                                 35.188,                  294.588,                  285.000,                           0.000,                      -63.200,                       -1.078,                      -36.848,                            -45.708,                            0.000,                             23.300,                               70.000,                                0.000,                                17.827,                                  345.188,                    30.546,                 14794.529,                    157.285,                          -0.411,                           0.061,                9.913,            0.069,            0.009,                  6.348,                0.000,            2.746,            1.813,                   ,                31.630,                63.980,                94.090,                47.609,                34.085,                23.194,      98.847,     123.174,      76.776,      22.881,       9.965,       4.421,           14.155,            1.773,               0.000,           0.071,           0.016,              0.000,               0.005,               0.009,                  0.000,                     ,                0.079,                  0.079,                0.079,        123.600,               0.055,              0.000,        0.113,         150.000,                           1.392,               0.000,                       0.008,                       0.008,       1.000,       1.000,                  15.928,                 800.000,            696.000,                                   726.487,                                1470.745,       1681.159,                  0.087,                        1.558,                        1.558,                                    202.000
MCSPTestBase, 1998-11-01,                           -0.849,                                   -0.093,                          -2.837,                         50.000,                          -5.104,                            0.000,                            10.120,                               -2.585,                                 33.676,                  288.944,                  285.000,                           0.000,                      -65.010,                       -1.156,                      -37.811,                            -50.334,                            0.000,                             23.300,                               70.000,                                0.000,                                 9.588,                                  343.676,                    30.195,                 14794.489,                    157.890,                          -0.257,                           0.062,                6.586,            0.049,            0.006,                  4.626,                0.000,            1.810,            0.963,                   ,                31.305,                63.287,                93.490,                46.444,                32.632,                21.785,     100.616,     121.969,      76.286,      22.508,       9.843,       4.445,           15.408,            1.912,               0.000,           0.077,           0.017,              0.000,               0.005,               0.009,                  0.000,                     ,                0.055,                  0.055,                0.055,        128.675,               0.059,              0.000,        0.122,         150.000,                           1.341,               0.000,                       0.008,                       0.008,       1.000,       1.000,                  17.320,                 800.000,            696.000,                                   726.487,                                1470.745,       1681.159,                  0.094,                        1.392,                        1.392,                                    212.150
MCSPTestBase, 1998-11-02,                           -0.924,                                   -0.043,                          -2.847,                         50.000,                          -6.048,                            0.000,                            10.334,                               -2.654,                                 32.500,                  283.886,                  285.000,                           0.000,                      -67.769,                       -1.211,                      -39.616,                            -53.497,                            0.000,                             23.300,                               70.000,                                0.000,                                 3.944,                                  342.500,                    29.879,                 14794.448,                    158.395,                          -0.196,                           0.050,               10.320,            0.076,            0.013,                  3.163,                0.000,            2.759,            1.806,                   ,                30.660,                62.038,                93.221,                45.771,                31.609,                20.588,     103.349,     119.692,      76.069,      22.264,       9.694,       4.374,           16.615,            2.046,               0.000,           0.083,           0.018,              0.000,               0.005,               0.009,                  0.000,                     ,                0.089,                  0.089,                0.089,        133.400,               0.064,              0.000,        0.132,         150.000,                           1.304,               0.000,                       0.007,                       0.007,       1.000,       1.000,                  18.661,                 800.000,            696.000,                                   726.487,                                1470.745,       1681.159,                  0.101,                        1.341,                        1.341,                                    221.600
MCSPTestBase, 1998-11-03,                           -0.997,                                    0.006,                          -2.852,                         50.000,                          -6.721,                            0.000,                            10.481,                               -2.704,                                 31.654,                  281.269,                  285.000,                           0.000,                      -69.016,                       -1.300,                      -40.428,                            -55.556,                            0.000,                             23.600,                               70.000,                                0.000,                                -1.114,                                  341.654,                    29.631,                 14794.417,                    158.824,                          -0.145,                           0.049,                4.488,            0.042,            0.004,                  2.059,                0.000,            1.247,            0.812,                   ,                30.494,                61.645,                93.099,                45.402,                30.945,                19.684,     104.321,     119.029,      75.973,      22.121,       9.572,       4.281,           17.789,            2.177,               0.000,           0.089,           0.020,              0.000,               0.005,               0.009,                  0.000,                     ,                0.046,                  0.046,                0.046,        138.200,               0.069,              0.000,        0.142,         150.000,                           1.382,               0.000,                       0.007,                       0.007,       1.000,       1.000,                  19.965,                 800.000,            696.000,                                   726.487,                                1470.745,       1681.159,                  0.109,                        1.304,                        1.304,                                    231.200
